Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Eileen Palmer,Totals
"Sheldon |.S.D., Trustee, Position 3",0045,2263,1019,3282,5740,57.18%,1719,1719
"Sheldon |.S.D., Trustee, Position 3",0096,828,306,1134,2060,55.05%,595,595
"Sheldon |.S.D., Trustee, Position 3",0118,0,0,0,0,0.00%,0,0
"Sheldon |.S.D., Trustee, Position 3",0220,106,10,116,213,54.46%,46,46
"Sheldon |.S.D., Trustee, Position 3",0353,0,1,1,0,0.00%,0,0
"Sheldon |.S.D., Trustee, Position 3",0376,413,209,622,1224,50.82%,325,325
"Sheldon |.S.D., Trustee, Position 3",0380,43,21,64,81,79.01%,27,27
"Sheldon |.S.D., Trustee, Position 3",0382,429,206,635,1035,61.35%,310,310
"Sheldon |.S.D., Trustee, Position 3",0460,490,185,675,1119,60.32%,361,361
"Sheldon |.S.D., Trustee, Position 3",0963,225,91,316,528,59.85%,151,151
"Sheldon |.S.D., Trustee, Position 3",0965,101,35,136,345,39.42%,71,71
"Sheldon |.S.D., Trustee, Position 3",0976,190,152,342,712,48.03%,158,158
"Sheldon |.S.D., Trustee, Position 3",Totals:,5088,2235,7323,13057,3763,3763
