Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0001,1416,496,1912,2682,71.29%,725,1044,1769
"District Judge, 177th Judicial District",0002,1000,370,1370,2099,65.27%,576,695,1271
"District Judge, 177th Judicial District",0003,875,336,1211,1625,74.52%,489,616,1105
"District Judge, 177th Judicial District",0004,954,369,1323,1709,77.41%,506,709,1215
"District Judge, 177th Judicial District",0005,759,380,1139,1470,77.48%,460,598,1058
"District Judge, 177th Judicial District",0006,1840,628,2468,4084,60.43%,1185,1164,2349
"District Judge, 177th Judicial District",0007,430,125,555,1002,55.39%,18,519,537
"District Judge, 177th Judicial District",0008,889,351,1240,1848,67.10%,603,572,1175
"District Judge, 177th Judicial District",0009,658,312,970,1861,52.12%,233,661,894
"District Judge, 177th Judicial District",0010,701,232,933,1830,50.98%,176,665,841
"District Judge, 177th Judicial District",0011,617,258,875,1748,50.06%,168,633,801
"District Judge, 177th Judicial District",0012,230,65,295,731,40.36%,145,133,278
"District Judge, 177th Judicial District",0013,1230,382,1612,2751,58.60%,1035,476,1511
"District Judge, 177th Judicial District",0014,989,429,1418,1924,73.70%,736,586,1322
"District Judge, 177th Judicial District",0015,1489,849,2338,2852,81.98%,1400,750,2150
"District Judge, 177th Judicial District",0016,676,189,865,1284,67.37%,415,400,815
"District Judge, 177th Judicial District",0017,451,293,744,1198,62.10%,307,385,692
"District Judge, 177th Judicial District",0018,743,367,1110,1456,76.24%,531,509,1040
"District Judge, 177th Judicial District",0019,547,293,940,1288,72.98%,322,558,880
"District Judge, 177th Judicial District",0020,1007,335,1342,2780,48.27%,438,810,1248
"District Judge, 177th Judicial District",0021,539,207,746,1229,60.70%,174,533,707
"District Judge, 177th Judicial District",0022,935,419,1354,2501,54.14%,221,1077,1298
"District Judge, 177th Judicial District",0023,132,74,206,551,37.39%,36,160,196
"District Judge, 177th Judicial District",0024,292,36,328,712,46.07%,62,253,315
"District Judge, 177th Judicial District",0025,239,292,531,1105,48.05%,26,488,514
"District Judge, 177th Judicial District",0026,834,313,1147,1969,58.25%,241,816,1057
"District Judge, 177th Judicial District",0027,1391,508,1899,3271,58.06%,398,1358,1756
"District Judge, 177th Judicial District",0028,1513,446,1959,3307,59.24%,1099,782,1881
"District Judge, 177th Judicial District",0029,548,490,1138,2722,41.81%,333,731,1064
"District Judge, 177th Judicial District",0030,1285,546,1831,2818,64.98%,543,1157,1700
"District Judge, 177th Judicial District",0031,784,453,1237,2656,46.57%,39,1147,1186
"District Judge, 177th Judicial District",0032,1245,504,1749,2728,64.11%,767,840,1607
"District Judge, 177th Judicial District",0033,2072,554,2525,3907,67.21%,993,1410,2403
"District Judge, 177th Judicial District",0034,1511,517,2128,3044,69.91%,535,1478,2013
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 177th Judicial District",0036,1032,516,1548,3100,49.94%,339,1126,1465
"District Judge, 177th Judicial District",0037,1521,409,1930,2467,78.23%,688,1091,1779
"District Judge, 177th Judicial District",0038,1876,436,2312,3081,75.04%,826,1334,2160
"District Judge, 177th Judicial District",0039,1703,492,2195,3070,71.50%,639,1387,2026
"District Judge, 177th Judicial District",0040,275,107,382,527,72.49%,206,149,355
"District Judge, 177th Judicial District",0041,712,264,976,1518,64.30%,412,520,932
"District Judge, 177th Judicial District",0042,438,109,547,1062,51.51%,16,520,536
"District Judge, 177th Judicial District",0043,815,300,1115,1972,56.54%,452,593,1045
"District Judge, 177th Judicial District",0044,726,310,1036,2126,48.73%,227,711,938
"District Judge, 177th Judicial District",0045,2263,1021,3284,5740,57.21%,623,2495,3118
"District Judge, 177th Judicial District",0046,875,341,1216,2568,47.35%,189,949,1138
"District Judge, 177th Judicial District",0047,505,268,773,1618,47.78%,47,705,752
"District Judge, 177th Judicial District",0048,348,168,516,967,53.36%,55,431,486
"District Judge, 177th Judicial District",0049,1546,731,2277,3709,61.39%,1484,697,2181
"District Judge, 177th Judicial District",0050,1836,680,2516,4314,58.32%,1194,1226,2420
"District Judge, 177th Judicial District",0051,828,271,1099,1734,63.38%,792,265,1057
"District Judge, 177th Judicial District",0052,1400,456,1856,2581,71.91%,906,815,1721
