Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0001,141,6,496,1912,2682,71.29%,695,1072,1767
"District Judge, 507th Judicial District",0002,1000,370,1370,2099,65.27%,575,697,1272
"District Judge, 507th Judicial District",0003,875,336,1211,1625,74.52%,460,648,1108
"District Judge, 507th Judicial District",0004,954,369,1323,1709,77.41%,495,716,1211
"District Judge, 507th Judicial District",0005,759,380,1139,1470,77.48%,437,619,1056
"District Judge, 507th Judicial District",0006,1840,628,2468,4084,60.43%,1149,1198,2347
"District Judge, 507th Judicial District",0007,430,125,555,1002,55.39%,14,524,538
"District Judge, 507th Judicial District",0008,889,351,1240,1848,67.10%,583,591,1174
"District Judge, 507th Judicial District",0009,658,312,970,1861,52.12%,215,680,895
"District Judge, 507th Judicial District",0010,701,232,933,1830,50.98%,156,698,854
"District Judge, 507th Judicial District",0011,617,258,875,1748,50.06%,154,656,810
"District Judge, 507th Judicial District",0012,230,65,295,731,40.36%,141,140,281
"District Judge, 507th Judicial District",0013,1230,382,1612,2751,58.60%,1015,498,1513
"District Judge, 507th Judicial District",0014,989,429,1418,1924,73.70%,728,595,1323
"District Judge, 507th Judicial District",0015,1489,849,2338,2852,81.98%,1383,779,2162
"District Judge, 507th Judicial District",0016,676,189,865,1284,67.37%,416,394,810
"District Judge, 507th Judicial District",0017,451,293,744,1198,62.10%,297,395,692
"District Judge, 507th Judicial District",0018,743,367,1110,1456,76.24%,524,513,1037
"District Judge, 507th Judicial District",0019,547,293,940,1288,72.98%,316,565,881
"District Judge, 507th Judicial District",0020,1007,335,1342,2780,48.27%,433,815,1248
"District Judge, 507th Judicial District",0021,539,207,746,1229,60.70%,170,535,705
"District Judge, 507th Judicial District",0022,935,419,1354,2501,54.14%,214,1080,1294
"District Judge, 507th Judicial District",0023,132,74,206,551,37.39%,31,165,196
"District Judge, 507th Judicial District",0024,292,36,328,712,46.07%,61,252,313
"District Judge, 507th Judicial District",0025,239,292,531,1105,48.05%,25,489,514
"District Judge, 507th Judicial District",0026,834,313,1147,1969,58.25%,214,846,1060
"District Judge, 507th Judicial District",0027,1391,508,1899,3271,58.06%,369,1397,1766
"District Judge, 507th Judicial District",0028,1513,446,1959,3307,59.24%,1071,810,1881
"District Judge, 507th Judicial District",0029,648,490,1138,2722,41.81%,299,768,1067
"District Judge, 507th Judicial District",0030,1285,546,1831,2818,64.98%,524,1171,1695
"District Judge, 507th Judicial District",0031,784,453,1237,2656,46.57%,40,1144,1184
"District Judge, 507th Judicial District",0032,1245,504,1749,2728,64.11%,745,861,1606
"District Judge, 507th Judicial District",0033,2072,554,2525,3907,67.21%,978,1416,2394
"District Judge, 507th Judicial District",0034,1511,517,2128,3044,69.91%,511,1499,2010
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 507th Judicial District",0036,1032,516,1548,3100,49.94%,311,1159,1470
"District Judge, 507th Judicial District",0037,1521,409,1930,2467,78.23%,672,1107,1779
"District Judge, 507th Judicial District",0038,1876,436,2312,3081,75.04%,802,1347,2149
"District Judge, 507th Judicial District",0039,1703,492,2195,3070,71.50%,625,1401,2026
"District Judge, 507th Judicial District",0040,275,107,382,527,72.49%,210,138,348
"District Judge, 507th Judicial District",0041,712,264,976,1518,64.30%,389,540,929
"District Judge, 507th Judicial District",0042,438,109,547,1062,51.51%,15,520,535
"District Judge, 507th Judicial District",0043,815,300,1115,1972,56.54%,451,597,1048
"District Judge, 507th Judicial District",0044,726,310,1036,2126,48.73%,199,741,940
"District Judge, 507th Judicial District",0045,2263,1021,3284,5740,57.21%,580,2535,3115
"District Judge, 507th Judicial District",0046,875,341,1216,2568,47.35%,156,991,1147
"District Judge, 507th Judicial District",0047,505,268,773,1618,47.78%,40,710,750
"District Judge, 507th Judicial District",0048,348,168,516,967,53.36%,51,436,487
"District Judge, 507th Judicial District",0049,1546,731,2277,3709,61.39%,1462,716,2178
"District Judge, 507th Judicial District",0050,1836,680,2516,4314,58.32%,1182,1234,2416
"District Judge, 507th Judicial District",0051,828,271,1099,1734,63.38%,784,271,1055
"District Judge, 507th Judicial District",0052,1400,456,1856,2581,71.91%,872,844,1716
"District Judge, 507th Judicial District",0053,1675,613,2288,3083,74.21%,958,1128,2086
"District Judge, 507th Judicial District",0054,1052,211,1263,1619,78.01%,603,546,1149
"District Judge, 507th Judicial District",0055,1262,410,1672,2094,79.85%,690,843,1533
"District Judge, 507th Judicial District",0056,698,283,981,1393,70.42%,562,355,917
"District Judge, 507th Judicial District",0057,2043,567,2610,3325,78.50%,1075,1318,2393
"District Judge, 507th Judicial District",0058,1716,484,2200,3031,72.58%,984,1061,2045
"District Judge, 507th Judicial District",0059,1589,439,2028,2671,75.93%,859,1030,1889
"District Judge, 507th Judicial District",0060,1473,537,2010,2766,72.67%,556,1309,1865
"District Judge, 507th Judicial District",0061,519,423,942,1847,51.00%,225,648,873
"District Judge, 507th Judicial District",0062,689,452,1141,2195,51.98%,181,885,1066
"District Judge, 507th Judicial District",0063,767,391,1158,1903,60.85%,888,215,1103
"District Judge, 507th Judicial District",0064,678,368,1046,2220,47.12%,173,804,977
