Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0001,1416,496,1912,2682,71.29%,737,1024,1761
"District Judge, 337th Judicial District",0002,1000,370,1370,2099,65.27%,578,691,1269
"District Judge, 337th Judicial District",0003,875,336,1211,1625,74.52%,479,624,1103
"District Judge, 337th Judicial District",0004,954,369,1323,1709,77.41%,504,706,1210
"District Judge, 337th Judicial District",0005,759,380,1139,1470,77.48%,455,594,1049
"District Judge, 337th Judicial District",0006,1840,628,2468,4084,60.43%,1196,1145,2341
"District Judge, 337th Judicial District",0007,430,125,555,1002,55.39%,24,515,539
"District Judge, 337th Judicial District",0008,889,351,1240,1848,67.10%,616,557,1173
"District Judge, 337th Judicial District",0009,658,312,970,1861,52.12%,233,661,894
"District Judge, 337th Judicial District",0010,701,232,933,1830,50.98%,177,661,838
"District Judge, 337th Judicial District",0011,617,258,875,1748,50.06%,174,626,800
"District Judge, 337th Judicial District",0012,230,65,295,731,40.36%,147,134,281
"District Judge, 337th Judicial District",0013,1230,382,1612,2751,58.60%,1044,468,1512
"District Judge, 337th Judicial District",0014,989,429,1418,1924,73.70%,739,581,1320
"District Judge, 337th Judicial District",0015,1489,849,2338,2852,81.98%,1398,749,2147
"District Judge, 337th Judicial District",0016,676,189,865,1284,67.37%,414,399,813
"District Judge, 337th Judicial District",0017,451,293,744,1198,62.10%,303,386,689
"District Judge, 337th Judicial District",0018,743,367,1110,1456,76.24%,542,500,1042
"District Judge, 337th Judicial District",0019,547,293,940,1288,72.98%,330,546,876
"District Judge, 337th Judicial District",0020,1007,335,1342,2780,48.27%,449,794,1243
"District Judge, 337th Judicial District",0021,539,207,746,1229,60.70%,174,528,702
"District Judge, 337th Judicial District",0022,935,419,1354,2501,54.14%,227,1066,1293
"District Judge, 337th Judicial District",0023,132,74,206,551,37.39%,36,160,196
"District Judge, 337th Judicial District",0024,292,36,328,712,46.07%,65,246,311
"District Judge, 337th Judicial District",0025,239,292,531,1105,48.05%,25,489,514
"District Judge, 337th Judicial District",0026,834,313,1147,1969,58.25%,244,809,1053
