Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0001,1419,496,1915,2682,71.40%,689,1096,1785
"Justice, 14th Court of Appeals District, Place 2",0002,1002,370,1372,2099,65.36%,569,716,1285
"Justice, 14th Court of Appeals District, Place 2",0003,875,336,1211,1625,74.52%,475,652,1127
"Justice, 14th Court of Appeals District, Place 2",0004,955,369,1324,1709,77.47%,483,749,1232
"Justice, 14th Court of Appeals District, Place 2",0005,759,380,1139,1470,77.48%,447,619,1066
"Justice, 14th Court of Appeals District, Place 2",0006,1841,628,2469,4084,60.46%,1184,1184,2368
"Justice, 14th Court of Appeals District, Place 2",0007,430,125,555,1002,55.39%,17,522,539
"Justice, 14th Court of Appeals District, Place 2",0008,889,351,1240,1848,67.10%,583,595,1178
"Justice, 14th Court of Appeals District, Place 2",0009,660,312,972,1861,52.23%,223,678,901
"Justice, 14th Court of Appeals District, Place 2",0010,701,232,933,1830,50.98%,170,677,847
"Justice, 14th Court of Appeals District, Place 2",0011,618,258,876,1748,50.11%,170,641,811
"Justice, 14th Court of Appeals District, Place 2",0012,230,65,295,731,40.36%,143,135,278
"Justice, 14th Court of Appeals District, Place 2",0013,1231,382,1613,2751,58.63%,1017,502,1519
"Justice, 14th Court of Appeals District, Place 2",0014,989,429,1418,1924,73.70%,711,630,1341
"Justice, 14th Court of Appeals District, Place 2",0015,1489,849,2338,2852,81.98%,1387,789,2176
"Justice, 14th Court of Appeals District, Place 2",0016,681,189,870,1284,67.76%,412,416,828
"Justice, 14th Court of Appeals District, Place 2",0017,451,293,744,1198,62.10%,292,402,694
"Justice, 14th Court of Appeals District, Place 2",0018,744,367,1111,1456,76.30%,529,510,1039
"Justice, 14th Court of Appeals District, Place 2",0019,649,293,942,1288,73.14%,307,580,887
"Justice, 14th Court of Appeals District, Place 2",0020,1007,335,1342,2780,48.27%,425,829,1254
"Justice, 14th Court of Appeals District, Place 2",0021,540,207,747,1229,60.78%,165,546,711
"Justice, 14th Court of Appeals District, Place 2",0022,936,419,1355,2501,54.18%,219,1082,1301
"Justice, 14th Court of Appeals District, Place 2",0023,132,74,206,551,37.39%,31,164,195
"Justice, 14th Court of Appeals District, Place 2",0024,293,36,329,712,46.21%,56,260,316
"Justice, 14th Court of Appeals District, Place 2",0025,239,292,531,1105,48.05%,22,493,515
"Justice, 14th Court of Appeals District, Place 2",0026,835,313,1148,1969,58.30%,237,828,1065
"Justice, 14th Court of Appeals District, Place 2",0027,1392,508,1900,3271,58.09%,390,1372,1762
"Justice, 14th Court of Appeals District, Place 2",0028,1514,446,1960,3307,59.27%,1090,798,1888
"Justice, 14th Court of Appeals District, Place 2",0029,648,490,1138,2722,41.81%,332,740,1072
"Justice, 14th Court of Appeals District, Place 2",0030,1287,546,1833,2818,65.05%,524,1185,1709
"Justice, 14th Court of Appeals District, Place 2",0031,784,453,1237,2656,46.57%,33,1158,1191
"Justice, 14th Court of Appeals District, Place 2",0032,1254,504,1758,2728,64.44%,746,889,1635
"Justice, 14th Court of Appeals District, Place 2",0033,2074,554,2628,3907,67.26%,972,1459,2431
"Justice, 14th Court of Appeals District, Place 2",0034,1612,517,2129,3044,69.94%,480,1544,2024
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0035,5,0,5,14,35.71%,3,2,5
"Justice, 14th Court of Appeals District, Place 2",0036,1032,516,1548,3100,49.94%,327,1141,1468
"Justice, 14th Court of Appeals District, Place 2",0037,1526,409,1935,2467,78.44%,669,1129,1798
"Justice, 14th Court of Appeals District, Place 2",0038,1876,436,2312,3081,75.04%,782,1386,2168
"Justice, 14th Court of Appeals District, Place 2",0039,1707,492,2199,3070,71.63%,604,1443,2047
"Justice, 14th Court of Appeals District, Place 2",0040,275,107,382,527,72.49%,205,149,354
"Justice, 14th Court of Appeals District, Place 2",0041,712,264,976,1518,64.30%,390,547,937
"Justice, 14th Court of Appeals District, Place 2",0042,438,109,547,1062,51.51%,14,524,538
"Justice, 14th Court of Appeals District, Place 2",0043,815,300,1115,1972,56.54%,456,587,1043
"Justice, 14th Court of Appeals District, Place 2",0044,727,310,1037,2126,48.78%,222,728,950
"Justice, 14th Court of Appeals District, Place 2",0045,2263,1021,3284,5740,57.21%,612,2508,3120
"Justice, 14th Court of Appeals District, Place 2",0046,875,341,1216,2568,47.35%,174,961,1135
"Justice, 14th Court of Appeals District, Place 2",0047,505,268,773,1618,47.78%,41,708,749
"Justice, 14th Court of Appeals District, Place 2",0048,348,168,516,967,53.36%,50,435,485
"Justice, 14th Court of Appeals District, Place 2",0049,1547,731,2278,3709,61.42%,1473,712,2185
"Justice, 14th Court of Appeals District, Place 2",0050,1838,680,2518,4314,58.37%,1182,1247,2429
"Justice, 14th Court of Appeals District, Place 2",0051,829,271,1100,1734,63.44%,796,264,1060
